country_names,Region,Climate Scenario,Year,GDP Per_Capita_PPP,Future GDP Per_Capita (SSP3),Projected Temperature Increase,coldest_month_popweighted,hottest_month_popwieghted,"Projected Change Cold-Related Mortality (Cold Model 3, % change mortality rate)",Projected Change Cold-Related Mortality (standard error),"Projected Change Heat-Related Mortality (Heat Model 4, % change mortality rate)...12",Projected Change in Heat Realted Mortality (standard error)...13,Net Mortality Change (% change mortality rate)...14,Net Change Mortality Rate (standard error)...15,"Projected Change Heat-Related Mortality (Heat Model 4, % change mortality rate)...16",Projected Change in Heat Realted Mortality (standard error)...17,Net Mortality Change (% change mortality rate)...18,Net Change Mortality Rate (standard error)...19,coldest_month,hottest_month,month_non_match,country_non_match
ABW,,RCP 2.6,2040-2059,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 2.6,2080-2099,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 4.5,2040-2059,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 4.5,2080-2099,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 6.0,2040-2059,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 6.0,2080-2099,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 8.5,2040-2059,,,0,,,,,,,,,,,,,0,0,1,1
ABW,,RCP 8.5,2080-2099,,,0,,,,,,,,,,,,,0,0,1,1
AFG,Afghanistan,RCP 2.6,2040-2059,1347.69,2891.3506,0.30528167,-0.9972374,25.067908,-0.4179606,0.0396238,1.596149,0.4586194,1.1781884,0.460327926138313,1.357372,0.3339616,0.9394114,0.336304022873649,0.82,25.63,,
AFG,Afghanistan,RCP 2.6,2080-2099,1347.69,7352.6824,0.19120147,-0.9972374,25.067908,-0.266114,0.0255348,1.001059,0.2859065,0.734945,0.287044513539782,0.6686537,0.1183835,0.4025397,0.121106065427335,0.82,25.63,,
AFG,Afghanistan,RCP 4.5,2040-2059,1347.69,2891.3506,0.84057148,-0.9972374,25.067908,-1.061291,0.0945793,4.366567,1.290733,3.305276,1.29419354088849,3.70911,0.9464796,2.647819,0.951193396320985,0.82,25.63,,
AFG,Afghanistan,RCP 4.5,2080-2099,1347.69,7352.6824,1.4734833,-0.9972374,25.067908,-1.674824,0.1372444,7.595701,2.322227,5.920877,2.32627905997117,5.034034,1.012377,3.35921,1.02163751666643,0.82,25.63,,
AFG,Afghanistan,RCP 6.0,2040-2059,1347.69,2891.3506,0.45520092,-0.9972374,25.067908,-0.6096354,0.0568522,2.375699,0.6880383,1.7660636,0.690383136317603,2.019662,0.5019897,1.4100266,0.505198803988024,0.82,25.63,,
AFG,Afghanistan,RCP 6.0,2080-2099,1347.69,7352.6824,2.0386933,-0.9972374,25.067908,-2.087975,0.1579305,10.4368,3.288673,8.348825,3.29246292974716,6.89251,1.470516,4.804535,1.47897239632329,0.82,25.63,,
AFG,Afghanistan,RCP 8.5,2040-2059,1347.69,2891.3506,1.292358,-0.9972374,25.067908,-1.515527,0.1273422,6.676744,2.021646,5.161217,2.02565263192307,5.66592,1.491434,4.150393,1.49686051863787,0.82,25.63,,
AFG,Afghanistan,RCP 8.5,2080-2099,1347.69,7352.6824,4.0960557,-0.9972374,25.067908,-2.518199,0.2356049,20.43883,7.18876,17.920631,7.19261982913764,13.3178,3.530562,10.799601,3.53841457502481,0.82,25.63,,
AGO,Angola,RCP 2.6,2040-2059,5845.6129,4991.5393,0.66783475,19.387877,23.65053,-1.020297,0.0905317,2.310962,0.4836598,1.290665,0.492059743162281,2.412935,0.5342758,1.392638,0.541891704282811,18.85,23.86,,
AGO,Angola,RCP 2.6,2080-2099,5845.6129,9144.3396,0.60083647,19.387877,23.65053,-0.9259497,0.0820168,2.081656,0.4330413,1.1557063,0.440739745187486,1.821762,0.3115124,0.8958123,0.322128438415487,18.85,23.86,,
AGO,Angola,RCP 4.5,2040-2059,5845.6129,4991.5393,0.98966475,19.387877,23.65053,-1.448601,0.1301915,3.404572,0.7338306,1.955971,0.745289994678991,3.555685,0.8093768,2.107084,0.819780843305386,18.85,23.86,,
AGO,Angola,RCP 4.5,2080-2099,5845.6129,9144.3396,1.5637606,19.387877,23.65053,-2.110283,0.1982147,5.323037,1.210749,3.212754,1.22686682581978,4.646626,0.8833359,2.536343,0.90530181681299,18.85,23.86,,
AGO,Angola,RCP 6.0,2040-2059,5845.6129,4991.5393,0.8820567,19.387877,23.65053,-1.309979,0.1171299,3.04036,0.6488646,1.730381,0.659351713888096,3.175042,0.716046,1.865063,0.72556273856229,18.85,23.86,,
AGO,Angola,RCP 6.0,2080-2099,5845.6129,9144.3396,2.0149591,19.387877,23.65053,-2.538264,0.25245,6.8017,1.61516,4.263436,1.63476996182949,5.930121,1.189038,3.391857,1.21554200583279,18.85,23.86,,
AGO,Angola,RCP 8.5,2040-2059,5845.6129,4991.5393,1.5791896,19.387877,23.65053,-2.126256,0.2000369,5.374023,1.224136,3.247767,1.24037240692367,5.615151,1.345875,3.488895,1.36065950075197,18.85,23.86,,
AGO,Angola,RCP 8.5,2080-2099,5845.6129,9144.3396,3.7240125,19.387877,23.65053,-3.42472,0.5148762,12.17024,3.408898,8.74552,3.44756190310347,10.55941,2.609039,7.13469,2.65935744209902,18.85,23.86,,
ALB,Albania,RCP 2.6,2040-2059,8331.6983,14094.719,0.08968772,4.9305374,23.451249,-0.1326586,0.0111411,0.2801016,0.0479622,0.147443,0.0492391788929304,0.234903,0.0316834,0.1022444,0.0335851447037228,2.54,22.24,,
ALB,Albania,RCP 2.6,2080-2099,8331.6983,20955.878,0.00213962,4.9305374,23.451249,-0.003202,0.0002718,0.006694,0.0011372,0.003492,0.0011692301227731,0.0048023,0.0006908,0.0016003,0.000742347546638365,2.54,22.24,,
