"File description: Table 2 (Cold Model Coefficients) from Bressler, Moore, Rennert, and Anthoff  (2021), ""Estimating Country-Level Mortality Damage Functions.""",,,,,,,,
Covariate descriptions:,temperature = Increase in yearly average temperatures releative to the 2001-2020 country average.,,,,,,,
,"temperature_squared = The ""temperature"" covariate squared.",,,,,,,
,"temperature_coldest_month = Interaction between ""tempertaure"" covariate and the current population-weighted average temperature in the coldest month for a given country.",,,,,,,
,temperature_coldest_month_gdp = An additional interaction that accounts for the (log) current per-capita gdp in a given country.,,,,,,,
,"Note: A coefficient set to ""0"" indicates that covariate was excluded from the model specification.",,,,,,,
Paper Link:,"N/A, using tables from August 1, 2021 working paper version.",,,,,,,
,,,,,,,,
Covariates,specification_1_coefficients,specification_2_coefficients,specification_3_coefficients,specification_4_coefficients,specification_1_standard_errors,specification_2_standard_errors,specification_3_standard_errors,specification_4_standard_errors
temperature,-0.977,-1.569,-1.441137,-1.441,0.0902,0.131,0.137,0.137
temperature_squared,0,0.226,0.1989863,0.199,0,0.0356,0.0361,0.0366
temperature_coldest_month,0,0,-0.0113227,-0.0127,0,0,0.0068,0.061
temperature_coldest_month_gdp,0,0,0,0.000146,0,0,0,0.00626
