"File description: Table 1 (Heat Model Coefficients) from Bressler, Moore, Rennert, and Anthoff  (2021), ""Estimating Country-Level Mortality Damage Functions.""",,,,,,,,
Covariate descriptions:,temperature = Increase in yearly average temperatures releative to the 2001-2020 country average.,,,,,,,
,"temperature_squared = The ""temperature"" covariate squared.",,,,,,,
,"temperature_hottest_month = Interaction between ""tempertaure"" covariate and the current population-weighted average temperature in the hottest month for a given country.",,,,,,,
,temperature_hottest_month_gdp = An additional interaction that accounts for the (log) current per-capita gdp in a given country.,,,,,,,
,"Note: A coefficient set to ""0"" indicates that covariate was excluded from the model specification.",,,,,,,
Paper Link:,"N/A, using tables from August 1, 2021 working paper version.",,,,,,,
,,,,,,,,
Covariates,specification_1_coefficients,specification_2_coefficients,specification_3_coefficients,specification_4_coefficients,specification_1_standard_errors,specification_2_standard_errors,specification_3_standard_errors,specification_4_standard_errors
temperature,1.94,2.463,-1.943,-0.5317713,0.4,0.508,1.673,1.224
temperature_squared,0,-0.2,-0.145,-0.0629332,0,0.0989,0.0771,0.0935
temperature_hottest_month,0,0,0.196,0.5251044,0,0,0.0839,0.208
temperature_hottest_month_gdp,0,0,0,-0.0408753,0,0,0,0.0222
